,domain_id,domain_name,domain_url
110,1606,Musi Banyuasin,https://musibanyuasinkab.bps.go.id
111,1607,Banyu Asin,https://banyuasinkab.bps.go.id
112,1608,Ogan Komering Ulu Selatan,https://okuselatankab.bps.go.id
113,1609,Ogan Komering Ulu Timur,https://okutimurkab.bps.go.id
114,1610,Ogan Ilir,https://oganilirkab.bps.go.id
115,1611,Empat Lawang,https://empatlawangkab.bps.go.id
116,1612,Penukal Abab Lematang Ilir,https://palikab.bps.go.id
117,1613,Musi Rawas Utara,https://muratarakab.bps.go.id
118,1671,Palembang,https://palembangkota.bps.go.id
119,1672,Prabumulih,https://prabumulihkota.bps.go.id
120,1673,Pagar Alam,https://pagaralamkota.bps.go.id
121,1674,Lubuklinggau,https://lubuklinggaukota.bps.go.id
122,1700,Bengkulu,https://bengkulu.bps.go.id
123,1701,Bengkulu Selatan,https://bengkuluselatankab.bps.go.id
124,1702,Rejang Lebong,https://rejanglebongkab.bps.go.id
125,1703,Bengkulu Utara,https://bengkuluutarakab.bps.go.id
126,1704,Kaur,https://kaurkab.bps.go.id
127,1705,Seluma,https://selumakab.bps.go.id
128,1706,Mukomuko,https://mukomukokab.bps.go.id
129,1707,Lebong,https://lebongkab.bps.go.id
130,1708,Kepahiang,https://kepahiangkab.bps.go.id
131,1709,Bengkulu Tengah,https://bengkulutengahkab.bps.go.id
132,1771,Bengkulu,https://bengkulukota.bps.go.id
133,1800,Lampung,https://lampung.bps.go.id
134,1801,Lampung Barat,https://lampungbaratkab.bps.go.id
135,1802,Tanggamus,https://tanggamuskab.bps.go.id
136,1803,Lampung Selatan,https://lampungselatankab.bps.go.id
137,1804,Lampung Timur,https://lampungtimurkab.bps.go.id
138,1805,Lampung Tengah,https://lampungtengahkab.bps.go.id
139,1806,Lampung Utara,https://lampungutarakab.bps.go.id
140,1807,Way Kanan,https://waykanankab.bps.go.id
141,1808,Tulangbawang,https://tulangbawangkab.bps.go.id
142,1809,Pesawaran,https://pesawarankab.bps.go.id
143,1810,Pringsewu,https://pringsewukab.bps.go.id
144,1811,Mesuji,https://mesujikab.bps.go.id
145,1812,Tulang Bawang Barat,https://tulangbawangbaratkab.bps.go.id
146,1813,Pesisir Barat,https://pesisirbaratkab.bps.go.id
147,1871,Bandar Lampung,https://bandarlampungkota.bps.go.id
148,1872,Metro,https://metrokota.bps.go.id
149,1900,Kep. Bangka Belitung,https://babel.bps.go.id
150,1901,Bangka,https://bangkakab.bps.go.id
151,1902,Belitung,https://belitungkab.bps.go.id
152,1903,Bangka Barat,https://bangkabaratkab.bps.go.id
153,1904,Bangka Tengah,https://bangkatengahkab.bps.go.id
154,1905,Bangka Selatan,https://bangkaselatankab.bps.go.id
155,1906,Belitung Timur,https://belitungtimurkab.bps.go.id
156,1971,Pangkal Pinang,https://pangkalpinangkota.bps.go.id
157,2100,Kep. Riau,https://kepri.bps.go.id
158,2101,Karimun,https://karimunkab.bps.go.id
159,2102,Bintan,https://bintankab.bps.go.id
160,2103,Natuna,https://natunakab.bps.go.id
161,2104,Lingga,https://linggakab.bps.go.id
162,2105,Kepulauan Anambas,https://anambaskab.bps.go.id
163,2171,B A T A M,https://batamkota.bps.go.id
164,2172,Tanjung Pinang,https://tanjungpinangkota.bps.go.id
165,3100,Dki Jakarta,https://jakarta.bps.go.id
166,3101,Kepulauan Seribu,https://kepulauanseribukab.bps.go.id
167,3171,Jakarta Selatan,https://jakselkota.bps.go.id
168,3172,Jakarta Timur,https://jaktimkota.bps.go.id
169,3173,Jakarta Pusat,https://jakpuskota.bps.go.id
170,3174,Jakarta Barat,https://jakbarkota.bps.go.id
171,3175,Jakarta Utara,https://jakutkota.bps.go.id
172,3200,Jawa Barat,https://jabar.bps.go.id
173,3201,Bogor,https://bogorkab.bps.go.id
174,3202,Sukabumi,https://sukabumikab.bps.go.id
175,3203,Cianjur,https://cianjurkab.bps.go.id
